10
Height [km], Scale height [cm], Temperature [K], Pressure [hPa], O2 [molecules / cm**3], N2 [molecules / cm**3], Air [molecules / cm**3], O [molecules / cm**3], O(1D) [molecules / cm**3], O3 [molecules / cm**3]
  42. 8.03e+05 270.7 1.75e+00 1.31e+16 4.89e+16 6.26e+16 1.92e+09 4.41e+02 6.31e+11
  43. 8.07e+05 272.0 1.55e+00 1.15e+16 4.30e+16 5.50e+16 2.42e+09 5.01e+02 5.02e+11
  44. 8.11e+05 273.2 1.37e+00 1.01e+16 3.78e+16 4.84e+16 3.01e+09 5.57e+02 3.99e+11
  45. 8.15e+05 274.5 1.21e+00 8.92e+15 3.33e+16 4.26e+16 3.68e+09 6.04e+02 3.17e+11
  46. 8.15e+05 274.4 1.07e+00 7.90e+15 2.94e+16 3.77e+16 4.28e+09 6.34e+02 2.52e+11
  47. 8.15e+05 274.3 9.47e-01 6.98e+15 2.60e+16 3.34e+16 4.88e+09 6.49e+02 2.00e+11
  48. 8.15e+05 274.2 8.38e-01 6.18e+15 2.30e+16 2.95e+16 5.47e+09 6.50e+02 1.59e+11
  49. 8.15e+05 274.1 7.41e-01 5.47e+15 2.04e+16 2.61e+16 6.00e+09 6.37e+02 1.26e+11
  50. 8.15e+05 274.0 6.56e-01 4.84e+15 1.80e+16 2.31e+16 6.50e+09 6.14e+02 1.00e+11
  51. 8.15e+05 274.0 5.80e-01 4.28e+15 1.60e+16 2.04e+16 6.98e+09 5.87e+02 7.97e+10
  52. 8.15e+05 273.9 5.43e-01 3.79e+15 1.41e+16 1.81e+16 7.39e+09 5.53e+02 6.33e+10
  53. 8.15e+05 273.8 4.54e-01 3.35e+15 1.25e+16 1.60e+16 7.77e+09 5.16e+02 5.03e+10
  54. 8.15e+05 273.7 4.01e-01 2.97e+15 1.11e+16 1.42e+16 8.11e+09 4.78e+02 4.00e+10
  55. 8.15e+05 273.6 3.55e-01 2.62e+15 9.78e+15 1.25e+16 8.40e+09 4.39e+02 3.17e+10
  56. 8.03e+05 269.4 3.14e-01 2.36e+15 8.78e+15 1.12e+16 8.00e+09 3.96e+02 2.52e+10
  57. 7.91e+05 265.3 2.77e-01 2.11e+15 7.86e+15 1.01e+16 7.59e+09 3.57e+02 2.00e+10
  58. 7.78e+05 261.1 2.44e-01 1.89e+15 7.03e+15 9.01e+15 7.21e+09 3.21e+02 1.59e+10
  59. 7.66e+05 256.9 2.14e-01 1.68e+15 6.28e+15 8.04e+15 6.88e+09 2.90e+02 1.27e+10
  60. 7.54e+05 252.8 1.88e-01 1.50e+15 5.60e+15 7.17e+15 6.53e+09 2.61e+02 1.01e+10
  61. 7.42e+05 248.6 1.64e-01 1.34e+15 4.98e+15 6.38e+15 6.16e+09 2.34e+02 7.99e+09
  62. 7.30e+05 244.4 1.43e-01 1.19e+15 4.42e+15 5.66e+15 5.85e+09 2.10e+02 6.35e+09
  63. 7.17e+05 240.2 1.25e-01 1.05e+15 3.92e+15 5.02e+15 5.55e+09 1.89e+02 5.04e+09
  64. 7.05e+05 236.1 1.08e-01 9.29e+14 3.46e+15 4.43e+15 5.29e+09 1.71e+02 4.01e+09
  65. 6.93e+05 231.9 9.40e-02 8.19e+14 3.05e+15 3.91e+15 5.02e+09 1.54e+02 3.18e+09
  66. 6.81e+05 227.8 8.12e-02 7.21e+14 2.69e+15 3.44e+15 4.80e+09 1.39e+02 2.53e+09
  67. 6.69e+05 223.6 7.00e-02 6.33e+14 2.36e+15 3.02e+15 4.58e+09 1.26e+02 2.01e+09
  68. 6.56e+05 219.5 6.02e-02 5.55e+14 2.07e+15 2.65e+15 4.39e+09 1.15e+02 1.60e+09
  69. 6.44e+05 215.3 5.16e-02 4.85e+14 1.81e+15 2.32e+15 4.20e+09 1.05e+02 1.27e+09
  70. 6.32e+05 211.2 4.41e-02 4.23e+14 1.58e+15 2.02e+15 4.03e+09 9.61e+01 1.01e+09
  71. 6.22e+05 207.8 3.76e-02 3.66e+14 1.37e+15 1.75e+15 3.96e+09 8.85e+01 8.01e+08
  72. 6.12e+05 204.4 3.20e-02 3.17e+14 1.18e+15 1.51e+15 3.90e+09 8.20e+01 6.36e+08
  73. 6.02e+05 201.0 2.71e-02 2.73e+14 1.02e+15 1.30e+15 3.85e+09 7.63e+01 5.05e+08
  74. 5.92e+05 197.6 2.30e-02 2.35e+14 8.76e+14 1.12e+15 3.82e+09 7.15e+01 4.02e+08
  75. 5.82e+05 194.2 1.94e-02 2.02e+14 7.52e+14 9.63e+14 3.81e+09 6.73e+01 3.20e+08
  76. 5.72e+05 190.8 1.63e-02 1.73e+14 6.43e+14 8.24e+14 4.20e+09 6.49e+01 2.60e+08
  77. 5.62e+05 187.4 1.36e-02 1.47e+14 5.49e+14 7.03e+14 5.20e+09 6.52e+01 2.20e+08
  78. 5.52e+05 184.0 1.14e-02 1.25e+14 4.67e+14 5.98e+14 7.00e+09 6.53e+01 1.85e+08
  79. 5.42e+05 180.6 9.50e-03 1.06e+14 3.97e+14 5.08e+14 9.80e+09 6.72e+01 1.60e+08
  80. 5.32e+05 177.2 7.88e-03 9.00e+13 3.36e+14 4.30e+14 1.40e+10 7.00e+01 1.40e+08
  81. 5.22e+05 173.8 6.52e-03 7.59e+13 2.83e+14 3.62e+14 1.60e+10 7.44e+01 1.25e+08
  82. 5.12e+05 170.4 5.38e-03 6.38e+13 2.38e+14 3.04e+14 1.90e+10 8.13e+01 1.15e+08
  83. 5.02e+05 167.1 4.41e-03 5.34e+13 1.99e+14 2.55e+14 2.20e+10 8.85e+01 1.05e+08
  84. 4.92e+05 163.7 3.61e-03 4.46e+13 1.66e+14 2.13e+14 2.60e+10 1.00e+02 1.00e+08
  85. 4.82e+05 160.3 2.94e-03 3.71e+13 1.38e+14 1.77e+14 3.00e+10 1.20e+02 1.00e+08
  86. 4.92e+05 163.6 2.39e-03 2.96e+13 1.10e+14 1.41e+14 4.20e+10 1.51e+02 1.00e+08
  87. 5.02e+05 166.9 1.96e-03 2.37e+13 8.84e+13 1.13e+14 7.00e+10 1.99e+02 1.05e+08
  88. 5.12e+05 170.1 1.61e-03 1.91e+13 7.12e+13 9.12e+13 1.20e+11 2.52e+02 1.05e+08
  89. 5.22e+05 173.4 1.32e-03 1.54e+13 5.76e+13 7.37e+13 2.00e+11 3.33e+02 1.10e+08
  90. 5.34e+05 176.7 1.10e-03 1.25e+13 4.67e+13 6.01e+13 3.00e+11 4.23e+02 1.10e+08
  91. 5.44e+05 179.9 9.14e-04 1.02e+13 3.81e+13 4.91e+13 3.10e+11 3.90e+02 7.25e+07
  92. 5.56e+05 183.2 7.62e-04 8.36e+12 3.12e+13 4.02e+13 3.15e+11 3.78e+02 4.74e+07
  93. 5.66e+05 186.5 6.39e-04 6.86e+12 2.56e+13 3.31e+13 3.20e+11 3.91e+02 3.07e+07
  94. 5.73e+05 189.7 5.36e-04 5.66e+12 2.11e+13 2.73e+13 3.25e+11 4.31e+02 2.02e+07
  95. 5.85e+05 193.0 4.51e-04 4.67e+12 1.74e+13 2.26e+13 3.30e+11 4.97e+02 1.33e+07
  96. 5.97e+05 196.2 3.84e-04 3.88e+12 1.45e+13 1.89e+13 3.28e+11 5.87e+02 8.63e+06
