60° latitude
0.26     albedo
Year 2003
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2003         1         1     12.00     83.03     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2079E+03
       4.      2003         1         1     12.00     83.03     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2079E+03
       7.      2003         1         1     12.00     83.03     0.2090E+00     0.6846E-13     0.5722E-21     0.6846E-13     0.2550E+19     0.8352E+06     0.6980E-02     0.8352E+06     0.2079E+03
      10.      2003         1         1     12.00     83.03     0.2091E+00     0.5092E-10     0.8308E-18     0.5092E-10     0.1740E+19     0.4236E+09     0.6912E+01     0.4236E+09     0.2079E+03
      13.      2003         1         1     12.00     83.03     0.2093E+00     0.4999E-08     0.1900E-15     0.4999E-08     0.1120E+19     0.2674E+11     0.1016E+04     0.2674E+11     0.2078E+03
      16.      2003         1         1     12.00     83.03     0.2098E+00     0.9975E-07     0.1062E-13     0.9975E-07     0.6880E+18     0.3272E+12     0.3484E+05     0.3272E+12     0.2058E+03
      19.      2003         1         1     12.00     83.03     0.2090E+00     0.7076E-06     0.2219E-12     0.7076E-06     0.4180E+18     0.1415E+13     0.4438E+06     0.1415E+13     0.1961E+03
      22.      2003         1         1     12.00     83.03     0.2098E+00     0.2698E-05     0.2446E-11     0.2698E-05     0.2580E+18     0.3319E+13     0.3009E+07     0.3319E+13     0.1697E+03
      25.      2003         1         1     12.00     83.03     0.2092E+00     0.5871E-05     0.1541E-10     0.5871E-05     0.1600E+18     0.4491E+13     0.1179E+08     0.4491E+13     0.1262E+03
      30.      2003         1         1     12.00     83.03     0.2093E+00     0.8181E-05     0.1246E-09     0.8181E-05     0.7430E+17     0.2904E+13     0.4424E+08     0.2904E+13     0.5742E+02
      35.      2003         1         1     12.00     83.03     0.2090E+00     0.5406E-05     0.5483E-09     0.5405E-05     0.3470E+17     0.8974E+12     0.9102E+08     0.8973E+12     0.2209E+02
      40.      2003         1         1     12.00     83.03     0.2096E+00     0.4042E-05     0.2598E-08     0.4039E-05     0.1700E+17     0.3278E+12     0.2107E+09     0.3276E+12     0.1071E+02
      45.      2003         1         1     12.00     83.03     0.2094E+00     0.4142E-05     0.1292E-07     0.4130E-05     0.8920E+16     0.1765E+12     0.5504E+09     0.1759E+12     0.6030E+01
      50.      2003         1         1     12.00     83.03     0.2095E+00     0.4227E-05     0.5618E-07     0.4171E-05     0.4840E+16     0.9764E+11     0.1298E+10     0.9634E+11     0.3499E+01
      55.      2003         1         1     12.00     83.03     0.2096E+00     0.4398E-05     0.1690E-06     0.4229E-05     0.2620E+16     0.5498E+11     0.2112E+10     0.5287E+11     0.2113E+01
      60.      2003         1         1     12.00     83.03     0.2092E+00     0.6513E-05     0.7027E-06     0.5811E-05     0.1500E+16     0.4670E+11     0.5038E+10     0.4166E+11     0.1234E+01
      65.      2003         1         1     12.00     83.03     0.2095E+00     0.9912E-05     0.3976E-05     0.5936E-05     0.8190E+15     0.3876E+11     0.1555E+11     0.2321E+11     0.6311E+00
      70.      2003         1         1     12.00     83.03     0.2094E+00     0.2667E-04     0.2052E-04     0.6147E-05     0.4230E+15     0.5387E+11     0.4145E+11     0.1242E+11     0.3000E+00
