-45° latitude
0.13     albedo
Year 2002
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2002         1         1     12.00     22.01     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3245E+03
       4.      2002         1         1     12.00     22.01     0.2098E+00     0.9822E-14     0.9801E-22     0.9822E-14     0.3630E+19     0.1699E+06     0.1696E-02     0.1699E+06     0.3245E+03
       7.      2002         1         1     12.00     22.01     0.2090E+00     0.3067E-11     0.5325E-19     0.3067E-11     0.2550E+19     0.3742E+08     0.6497E+00     0.3742E+08     0.3245E+03
      10.      2002         1         1     12.00     22.01     0.2091E+00     0.3945E-09     0.1233E-16     0.3945E-09     0.1740E+19     0.3283E+10     0.1026E+03     0.3283E+10     0.3245E+03
      13.      2002         1         1     12.00     22.01     0.2093E+00     0.1548E-07     0.1060E-14     0.1548E-07     0.1120E+19     0.8280E+11     0.5669E+04     0.8280E+11     0.3240E+03
      16.      2002         1         1     12.00     22.01     0.2098E+00     0.1843E-06     0.3390E-13     0.1843E-06     0.6880E+18     0.6045E+12     0.1112E+06     0.6045E+12     0.3202E+03
      19.      2002         1         1     12.00     22.01     0.2090E+00     0.9871E-06     0.5188E-12     0.9871E-06     0.4180E+18     0.1974E+13     0.1038E+07     0.1974E+13     0.3058E+03
      22.      2002         1         1     12.00     22.01     0.2098E+00     0.3285E-05     0.4847E-11     0.3285E-05     0.2580E+18     0.4040E+13     0.5962E+07     0.4040E+13     0.2722E+03
      25.      2002         1         1     12.00     22.01     0.2092E+00     0.7335E-05     0.3056E-10     0.7335E-05     0.1600E+18     0.5612E+13     0.2338E+08     0.5611E+13     0.2184E+03
      30.      2002         1         1     12.00     22.01     0.2093E+00     0.1455E-04     0.3504E-09     0.1455E-04     0.7430E+17     0.5166E+13     0.1244E+09     0.5166E+13     0.1183E+03
      35.      2002         1         1     12.00     22.01     0.2090E+00     0.1460E-04     0.2647E-08     0.1460E-04     0.3470E+17     0.2424E+13     0.4393E+09     0.2423E+13     0.4772E+02
      40.      2002         1         1     12.00     22.01     0.2096E+00     0.1023E-04     0.1570E-07     0.1021E-04     0.1700E+17     0.8295E+12     0.1273E+10     0.8283E+12     0.1750E+02
      45.      2002         1         1     12.00     22.01     0.2094E+00     0.6978E-05     0.7840E-07     0.6900E-05     0.8920E+16     0.2973E+12     0.3340E+10     0.2939E+12     0.7072E+01
      50.      2002         1         1     12.00     22.01     0.2095E+00     0.5162E-05     0.3004E-06     0.4862E-05     0.4840E+16     0.1193E+12     0.6940E+10     0.1123E+12     0.3297E+01
      55.      2002         1         1     12.00     22.01     0.2096E+00     0.4505E-05     0.9427E-06     0.3562E-05     0.2620E+16     0.5631E+11     0.1178E+11     0.4453E+11     0.1839E+01
      60.      2002         1         1     12.00     22.01     0.2092E+00     0.7461E-05     0.3171E-05     0.4290E-05     0.1500E+16     0.5350E+11     0.2274E+11     0.3076E+11     0.1139E+01
      65.      2002         1         1     12.00     22.01     0.2095E+00     0.1700E-04     0.1175E-04     0.5246E-05     0.8190E+15     0.6645E+11     0.4594E+11     0.2051E+11     0.6627E+00
      70.      2002         1         1     12.00     22.01     0.2094E+00     0.5590E-04     0.4891E-04     0.6985E-05     0.4230E+15     0.1129E+12     0.9880E+11     0.1411E+11     0.3409E+00
