-45° latitude
0.13     albedo
40km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      40.      2048         1         1     12.00     21.99     0.2096E+00     0.1023E-04     0.1570E-07     0.1021E-04     0.1700E+17     0.8295E+12     0.1273E+10     0.8282E+12     0.1750E+02
      40.      2048         2         1     12.00     28.02     0.2096E+00     0.1019E-04     0.1507E-07     0.1018E-04     0.1700E+17     0.8264E+12     0.1222E+10     0.8252E+12     0.1753E+02
      40.      2048         3         1     12.00     37.87     0.2096E+00     0.9976E-05     0.1370E-07     0.9962E-05     0.1700E+17     0.8090E+12     0.1111E+10     0.8079E+12     0.1738E+02
      40.      2048         4         1     12.00     49.93     0.2096E+00     0.9524E-05     0.1153E-07     0.9513E-05     0.1700E+17     0.7724E+12     0.9354E+09     0.7715E+12     0.1704E+02
      40.      2048         5         1     12.00     60.39     0.2096E+00     0.8805E-05     0.9212E-08     0.8796E-05     0.1700E+17     0.7141E+12     0.7471E+09     0.7133E+12     0.1634E+02
      40.      2048         6         1     12.00     67.20     0.2096E+00     0.8080E-05     0.7500E-08     0.8072E-05     0.1700E+17     0.6553E+12     0.6082E+09     0.6547E+12     0.1576E+02
      40.      2048         7         1     12.00     68.06     0.2096E+00     0.7828E-05     0.7144E-08     0.7821E-05     0.1700E+17     0.6349E+12     0.5794E+09     0.6343E+12     0.1552E+02
      40.      2048         8         1     12.00     62.79     0.2096E+00     0.8392E-05     0.8502E-08     0.8384E-05     0.1700E+17     0.6806E+12     0.6895E+09     0.6799E+12     0.1600E+02
      40.      2048         9         1     12.00     52.92     0.2096E+00     0.9318E-05     0.1087E-07     0.9307E-05     0.1700E+17     0.7557E+12     0.8818E+09     0.7548E+12     0.1689E+02
      40.      2048        10         1     12.00     41.50     0.2096E+00     0.9866E-05     0.1315E-07     0.9853E-05     0.1700E+17     0.8001E+12     0.1066E+10     0.7990E+12     0.1725E+02
      40.      2048        11         1     12.00     30.46     0.2096E+00     0.1015E-04     0.1479E-07     0.1014E-04     0.1700E+17     0.8232E+12     0.1200E+10     0.8220E+12     0.1750E+02
      40.      2048        12         1     12.00     23.15     0.2096E+00     0.1026E-04     0.1562E-07     0.1024E-04     0.1700E+17     0.8318E+12     0.1267E+10     0.8306E+12     0.1752E+02
