-60° latitude
0.15     albedo
60km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      60.      2048         1         1     12.00     36.99     0.2092E+00     0.7256E-05     0.3069E-05     0.4187E-05     0.1500E+16     0.5203E+11     0.2201E+11     0.3002E+11     0.1096E+01
      60.      2048         2         1     12.00     42.95     0.2092E+00     0.7155E-05     0.2999E-05     0.4156E-05     0.1500E+16     0.5130E+11     0.2151E+11     0.2980E+11     0.1072E+01
      60.      2048         3         1     12.00     52.83     0.2092E+00     0.6931E-05     0.2811E-05     0.4121E-05     0.1500E+16     0.4970E+11     0.2015E+11     0.2954E+11     0.1039E+01
      60.      2048         4         1     12.00     64.92     0.2092E+00     0.6653E-05     0.2479E-05     0.4174E-05     0.1500E+16     0.4770E+11     0.1778E+11     0.2993E+11     0.1002E+01
      60.      2048         5         1     12.00     75.38     0.2092E+00     0.6482E-05     0.1934E-05     0.4549E-05     0.1500E+16     0.4648E+11     0.1386E+11     0.3261E+11     0.1001E+01
      60.      2048         6         1     12.00     82.20     0.2092E+00     0.6461E-05     0.8773E-06     0.5584E-05     0.1500E+16     0.4633E+11     0.6290E+10     0.4004E+11     0.1170E+01
      60.      2048         7         1     12.00     83.05     0.2092E+00     0.6488E-05     0.7137E-06     0.5774E-05     0.1500E+16     0.4652E+11     0.5117E+10     0.4140E+11     0.1197E+01
      60.      2048         8         1     12.00     77.78     0.2092E+00     0.6411E-05     0.1621E-05     0.4791E-05     0.1500E+16     0.4597E+11     0.1162E+11     0.3435E+11     0.1022E+01
      60.      2048         9         1     12.00     67.92     0.2092E+00     0.6553E-05     0.2382E-05     0.4170E-05     0.1500E+16     0.4698E+11     0.1708E+11     0.2990E+11     0.9758E+00
      60.      2048        10         1     12.00     56.47     0.2092E+00     0.6834E-05     0.2720E-05     0.4114E-05     0.1500E+16     0.4900E+11     0.1950E+11     0.2950E+11     0.1019E+01
      60.      2048        11         1     12.00     45.36     0.2092E+00     0.7122E-05     0.2961E-05     0.4161E-05     0.1500E+16     0.5107E+11     0.2123E+11     0.2984E+11     0.1084E+01
      60.      2048        12         1     12.00     38.09     0.2092E+00     0.7250E-05     0.3059E-05     0.4190E-05     0.1500E+16     0.5198E+11     0.2194E+11     0.3004E+11     0.1105E+01
