75° latitude
0.45     albedo
Year 2013
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2013         1         1     12.00     97.98     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1852E+03
       4.      2013         1         1     12.00     97.98     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1852E+03
       7.      2013         1         1     12.00     97.98     0.2090E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2550E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1852E+03
      10.      2013         1         1     12.00     97.98     0.2091E+00     0.1824E-10     0.0000E+00     0.1824E-10     0.1740E+19     0.1518E+09     0.0000E+00     0.1518E+09     0.1852E+03
      13.      2013         1         1     12.00     97.98     0.2093E+00     0.3171E-08     0.0000E+00     0.3171E-08     0.1120E+19     0.1696E+11     0.0000E+00     0.1696E+11     0.1852E+03
      16.      2013         1         1     12.00     97.98     0.2098E+00     0.9278E-07     0.0000E+00     0.9278E-07     0.6880E+18     0.3043E+12     0.0000E+00     0.3043E+12     0.1834E+03
      19.      2013         1         1     12.00     97.98     0.2090E+00     0.8151E-06     0.0000E+00     0.8151E-06     0.4180E+18     0.1630E+13     0.0000E+00     0.1630E+13     0.1726E+03
      22.      2013         1         1     12.00     97.98     0.2098E+00     0.2731E-05     0.0000E+00     0.2731E-05     0.2580E+18     0.3359E+13     0.0000E+00     0.3359E+13     0.1448E+03
      25.      2013         1         1     12.00     97.98     0.2092E+00     0.4652E-05     0.0000E+00     0.4652E-05     0.1600E+18     0.3558E+13     0.0000E+00     0.3558E+13     0.1062E+03
      30.      2013         1         1     12.00     97.98     0.2093E+00     0.7202E-05     0.0000E+00     0.7202E-05     0.7430E+17     0.2557E+13     0.0000E+00     0.2557E+13     0.4934E+02
      35.      2013         1         1     12.00     97.98     0.2090E+00     0.5178E-05     0.0000E+00     0.5178E-05     0.3470E+17     0.8595E+12     0.0000E+00     0.8595E+12     0.1759E+02
      40.      2013         1         1     12.00     97.98     0.2096E+00     0.2900E-05     0.0000E+00     0.2900E-05     0.1700E+17     0.2352E+12     0.0000E+00     0.2352E+12     0.7420E+01
      45.      2013         1         1     12.00     97.98     0.2094E+00     0.1935E-05     0.0000E+00     0.1935E-05     0.8920E+16     0.8242E+11     0.0000E+00     0.8242E+11     0.4468E+01
      50.      2013         1         1     12.00     97.98     0.2095E+00     0.1484E-05     0.0000E+00     0.1484E-05     0.4840E+16     0.3428E+11     0.0000E+00     0.3428E+11     0.3384E+01
      55.      2013         1         1     12.00     97.98     0.2096E+00     0.1375E-05     0.0000E+00     0.1375E-05     0.2620E+16     0.1719E+11     0.0000E+00     0.1719E+11     0.2905E+01
      60.      2013         1         1     12.00     97.98     0.2092E+00     0.5239E-05     0.0000E+00     0.5239E-05     0.1500E+16     0.3757E+11     0.0000E+00     0.3757E+11     0.2396E+01
      65.      2013         1         1     12.00     97.98     0.2095E+00     0.1086E-04     0.0000E+00     0.1086E-04     0.8190E+15     0.4246E+11     0.0000E+00     0.4246E+11     0.1653E+01
      70.      2013         1         1     12.00     97.98     0.2094E+00     0.1861E-04     0.0000E+00     0.1861E-04     0.4230E+15     0.3760E+11     0.0000E+00     0.3760E+11     0.9086E+00
