15° latitude
0.15     albedo
35km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      35.      2048         1         1     12.00     38.03     0.2090E+00     0.1374E-04     0.2330E-08     0.1374E-04     0.3470E+17     0.2281E+13     0.3867E+09     0.2280E+13     0.4622E+02
      35.      2048         2         1     12.00     32.29     0.2090E+00     0.1400E-04     0.2463E-08     0.1399E-04     0.3470E+17     0.2324E+13     0.4089E+09     0.2323E+13     0.4669E+02
      35.      2048         3         1     12.00     22.43     0.2090E+00     0.1458E-04     0.2678E-08     0.1458E-04     0.3470E+17     0.2420E+13     0.4446E+09     0.2420E+13     0.4779E+02
      35.      2048         4         1     12.00     10.12     0.2090E+00     0.1494E-04     0.2809E-08     0.1493E-04     0.3470E+17     0.2479E+13     0.4663E+09     0.2479E+13     0.4841E+02
      35.      2048         5         1     12.00      0.81     0.2090E+00     0.1510E-04     0.2877E-08     0.1510E-04     0.3470E+17     0.2506E+13     0.4775E+09     0.2506E+13     0.4879E+02
      35.      2048         6         1     12.00      7.21     0.2090E+00     0.1509E-04     0.2843E-08     0.1509E-04     0.3470E+17     0.2506E+13     0.4719E+09     0.2505E+13     0.4880E+02
      35.      2048         7         1     12.00      8.11     0.2090E+00     0.1507E-04     0.2835E-08     0.1507E-04     0.3470E+17     0.2502E+13     0.4706E+09     0.2502E+13     0.4877E+02
      35.      2048         8         1     12.00      3.17     0.2090E+00     0.1510E-04     0.2864E-08     0.1510E-04     0.3470E+17     0.2506E+13     0.4754E+09     0.2506E+13     0.4881E+02
      35.      2048         9         1     12.00      7.08     0.2090E+00     0.1506E-04     0.2841E-08     0.1505E-04     0.3470E+17     0.2499E+13     0.4715E+09     0.2499E+13     0.4864E+02
      35.      2048        10         1     12.00     18.75     0.2090E+00     0.1488E-04     0.2757E-08     0.1487E-04     0.3470E+17     0.2469E+13     0.4577E+09     0.2469E+13     0.4832E+02
      35.      2048        11         1     12.00     30.02     0.2090E+00     0.1441E-04     0.2559E-08     0.1441E-04     0.3470E+17     0.2392E+13     0.4247E+09     0.2392E+13     0.4745E+02
      35.      2048        12         1     12.00     37.05     0.2090E+00     0.1389E-04     0.2369E-08     0.1389E-04     0.3470E+17     0.2306E+13     0.3933E+09     0.2306E+13     0.4638E+02
