-30° latitude
0.13     albedo
40km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      40.      2048         1         1     12.00      7.02     0.2096E+00     0.1038E-04     0.1653E-07     0.1036E-04     0.1700E+17     0.8417E+12     0.1340E+10     0.8404E+12     0.1762E+02
      40.      2048         2         1     12.00     13.24     0.2096E+00     0.1038E-04     0.1626E-07     0.1036E-04     0.1700E+17     0.8417E+12     0.1319E+10     0.8404E+12     0.1766E+02
      40.      2048         3         1     12.00     22.95     0.2096E+00     0.1031E-04     0.1564E-07     0.1030E-04     0.1700E+17     0.8362E+12     0.1268E+10     0.8349E+12     0.1763E+02
      40.      2048         4         1     12.00     34.93     0.2096E+00     0.1008E-04     0.1414E-07     0.1006E-04     0.1700E+17     0.8172E+12     0.1147E+10     0.8160E+12     0.1746E+02
      40.      2048         5         1     12.00     45.39     0.2096E+00     0.9793E-05     0.1249E-07     0.9781E-05     0.1700E+17     0.7942E+12     0.1013E+10     0.7932E+12     0.1727E+02
      40.      2048         6         1     12.00     52.20     0.2096E+00     0.9386E-05     0.1107E-07     0.9375E-05     0.1700E+17     0.7612E+12     0.8980E+09     0.7603E+12     0.1688E+02
      40.      2048         7         1     12.00     53.06     0.2096E+00     0.9294E-05     0.1086E-07     0.9283E-05     0.1700E+17     0.7538E+12     0.8810E+09     0.7529E+12     0.1680E+02
      40.      2048         8         1     12.00     47.80     0.2096E+00     0.9593E-05     0.1191E-07     0.9581E-05     0.1700E+17     0.7780E+12     0.9662E+09     0.7771E+12     0.1712E+02
      40.      2048         9         1     12.00     37.92     0.2096E+00     0.1003E-04     0.1372E-07     0.1002E-04     0.1700E+17     0.8134E+12     0.1113E+10     0.8123E+12     0.1744E+02
      40.      2048        10         1     12.00     26.55     0.2096E+00     0.1024E-04     0.1525E-07     0.1023E-04     0.1700E+17     0.8305E+12     0.1237E+10     0.8293E+12     0.1755E+02
      40.      2048        11         1     12.00     15.72     0.2096E+00     0.1038E-04     0.1620E-07     0.1036E-04     0.1700E+17     0.8415E+12     0.1314E+10     0.8402E+12     0.1761E+02
      40.      2048        12         1     12.00      8.40     0.2096E+00     0.1041E-04     0.1648E-07     0.1039E-04     0.1700E+17     0.8441E+12     0.1336E+10     0.8428E+12     0.1767E+02
