90° latitude
0.58     albedo
Year 2004
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2004         1         1     12.00    113.04     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1240E+03
       4.      2004         1         1     12.00    113.04     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1240E+03
       7.      2004         1         1     12.00    113.04     0.2090E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2550E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.1240E+03
      10.      2004         1         1     12.00    113.04     0.2091E+00     0.9608E-11     0.0000E+00     0.9608E-11     0.1740E+19     0.7994E+08     0.0000E+00     0.7994E+08     0.1240E+03
      13.      2004         1         1     12.00    113.04     0.2093E+00     0.1446E-08     0.0000E+00     0.1446E-08     0.1120E+19     0.7735E+10     0.0000E+00     0.7735E+10     0.1240E+03
      16.      2004         1         1     12.00    113.04     0.2098E+00     0.3948E-07     0.0000E+00     0.3948E-07     0.6880E+18     0.1295E+12     0.0000E+00     0.1295E+12     0.1232E+03
      19.      2004         1         1     12.00    113.04     0.2090E+00     0.3340E-06     0.0000E+00     0.3340E-06     0.4180E+18     0.6680E+12     0.0000E+00     0.6680E+12     0.1188E+03
      22.      2004         1         1     12.00    113.04     0.2098E+00     0.1401E-05     0.0000E+00     0.1401E-05     0.2580E+18     0.1723E+13     0.0000E+00     0.1723E+13     0.1054E+03
      25.      2004         1         1     12.00    113.04     0.2092E+00     0.3454E-05     0.0000E+00     0.3454E-05     0.1600E+18     0.2642E+13     0.0000E+00     0.2642E+13     0.8108E+02
      30.      2004         1         1     12.00    113.04     0.2093E+00     0.5782E-05     0.0000E+00     0.5782E-05     0.7430E+17     0.2053E+13     0.0000E+00     0.2053E+13     0.3745E+02
      35.      2004         1         1     12.00    113.04     0.2090E+00     0.3721E-05     0.0000E+00     0.3721E-05     0.3470E+17     0.6176E+12     0.0000E+00     0.6176E+12     0.1263E+02
      40.      2004         1         1     12.00    113.04     0.2096E+00     0.1825E-05     0.0000E+00     0.1825E-05     0.1700E+17     0.1480E+12     0.0000E+00     0.1480E+12     0.5513E+01
      45.      2004         1         1     12.00    113.04     0.2094E+00     0.1094E-05     0.0000E+00     0.1094E-05     0.8920E+16     0.4661E+11     0.0000E+00     0.4661E+11     0.3704E+01
      50.      2004         1         1     12.00    113.04     0.2095E+00     0.7687E-06     0.0000E+00     0.7687E-06     0.4840E+16     0.1776E+11     0.0000E+00     0.1776E+11     0.3106E+01
      55.      2004         1         1     12.00    113.04     0.2096E+00     0.6920E-06     0.0000E+00     0.6920E-06     0.2620E+16     0.8650E+10     0.0000E+00     0.8650E+10     0.2860E+01
      60.      2004         1         1     12.00    113.04     0.2092E+00     0.4125E-05     0.0000E+00     0.4125E-05     0.1500E+16     0.2957E+11     0.0000E+00     0.2957E+11     0.2505E+01
      65.      2004         1         1     12.00    113.04     0.2095E+00     0.1258E-04     0.0000E+00     0.1258E-04     0.8190E+15     0.4918E+11     0.0000E+00     0.4918E+11     0.1773E+01
      70.      2004         1         1     12.00    113.04     0.2094E+00     0.1948E-04     0.0000E+00     0.1948E-04     0.4230E+15     0.3934E+11     0.0000E+00     0.3934E+11     0.9507E+00
