75° latitude
0.45     albedo
Year 2049
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2049         1         1     12.00     97.96     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2026E+03
       4.      2049         1         1     12.00     97.96     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2026E+03
       7.      2049         1         1     12.00     97.96     0.2090E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2550E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2026E+03
      10.      2049         1         1     12.00     97.96     0.2091E+00     0.3406E-10     0.0000E+00     0.3406E-10     0.1740E+19     0.2834E+09     0.0000E+00     0.2834E+09     0.2026E+03
      13.      2049         1         1     12.00     97.96     0.2093E+00     0.6573E-08     0.0000E+00     0.6573E-08     0.1120E+19     0.3516E+11     0.0000E+00     0.3516E+11     0.2024E+03
      16.      2049         1         1     12.00     97.96     0.2098E+00     0.1986E-06     0.0000E+00     0.1986E-06     0.6880E+18     0.6515E+12     0.0000E+00     0.6515E+12     0.1986E+03
      19.      2049         1         1     12.00     97.96     0.2090E+00     0.1349E-05     0.0000E+00     0.1349E-05     0.4180E+18     0.2698E+13     0.0000E+00     0.2698E+13     0.1799E+03
      22.      2049         1         1     12.00     97.96     0.2098E+00     0.2835E-05     0.0000E+00     0.2835E-05     0.2580E+18     0.3487E+13     0.0000E+00     0.3487E+13     0.1455E+03
      25.      2049         1         1     12.00     97.96     0.2092E+00     0.4652E-05     0.0000E+00     0.4652E-05     0.1600E+18     0.3558E+13     0.0000E+00     0.3558E+13     0.1062E+03
      30.      2049         1         1     12.00     97.96     0.2093E+00     0.7201E-05     0.0000E+00     0.7201E-05     0.7430E+17     0.2556E+13     0.0000E+00     0.2556E+13     0.4935E+02
      35.      2049         1         1     12.00     97.96     0.2090E+00     0.5177E-05     0.0000E+00     0.5177E-05     0.3470E+17     0.8594E+12     0.0000E+00     0.8594E+12     0.1760E+02
      40.      2049         1         1     12.00     97.96     0.2096E+00     0.2900E-05     0.0000E+00     0.2900E-05     0.1700E+17     0.2352E+12     0.0000E+00     0.2352E+12     0.7426E+01
      45.      2049         1         1     12.00     97.96     0.2094E+00     0.1936E-05     0.0000E+00     0.1936E-05     0.8920E+16     0.8247E+11     0.0000E+00     0.8247E+11     0.4474E+01
      50.      2049         1         1     12.00     97.96     0.2095E+00     0.1486E-05     0.0000E+00     0.1486E-05     0.4840E+16     0.3433E+11     0.0000E+00     0.3433E+11     0.3388E+01
      55.      2049         1         1     12.00     97.96     0.2096E+00     0.1380E-05     0.0000E+00     0.1380E-05     0.2620E+16     0.1725E+11     0.0000E+00     0.1725E+11     0.2909E+01
      60.      2049         1         1     12.00     97.96     0.2092E+00     0.5263E-05     0.0000E+00     0.5263E-05     0.1500E+16     0.3774E+11     0.0000E+00     0.3774E+11     0.2398E+01
      65.      2049         1         1     12.00     97.96     0.2095E+00     0.1086E-04     0.0000E+00     0.1086E-04     0.8190E+15     0.4248E+11     0.0000E+00     0.4248E+11     0.1653E+01
      70.      2049         1         1     12.00     97.96     0.2094E+00     0.1861E-04     0.0000E+00     0.1861E-04     0.4230E+15     0.3760E+11     0.0000E+00     0.3760E+11     0.9085E+00
