15° latitude
0.15     albedo
Year 2033
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2033         1         1     12.00     37.97     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.4400E+03
       4.      2033         1         1     12.00     37.97     0.2098E+00     0.2297E-15     0.2050E-23     0.2297E-15     0.3630E+19     0.3975E+04     0.3546E-04     0.3975E+04     0.4400E+03
       7.      2033         1         1     12.00     37.97     0.2090E+00     0.5589E-11     0.8677E-19     0.5589E-11     0.2550E+19     0.6819E+08     0.1059E+01     0.6819E+08     0.4400E+03
      10.      2033         1         1     12.00     37.97     0.2091E+00     0.1515E-08     0.4249E-16     0.1515E-08     0.1740E+19     0.1260E+11     0.3535E+03     0.1260E+11     0.4399E+03
      13.      2033         1         1     12.00     37.97     0.2093E+00     0.7262E-07     0.4483E-14     0.7262E-07     0.1120E+19     0.3885E+12     0.2398E+05     0.3885E+12     0.4377E+03
      16.      2033         1         1     12.00     37.97     0.2098E+00     0.8734E-06     0.1462E-12     0.8734E-06     0.6880E+18     0.2865E+13     0.4796E+06     0.2865E+13     0.4195E+03
      19.      2033         1         1     12.00     37.97     0.2090E+00     0.3128E-05     0.1520E-11     0.3128E-05     0.4180E+18     0.6256E+13     0.3041E+07     0.6256E+13     0.3687E+03
      22.      2033         1         1     12.00     37.97     0.2098E+00     0.5629E-05     0.7840E-11     0.5629E-05     0.2580E+18     0.6923E+13     0.9643E+07     0.6923E+13     0.2952E+03
      25.      2033         1         1     12.00     37.97     0.2092E+00     0.8681E-05     0.3461E-10     0.8681E-05     0.1600E+18     0.6641E+13     0.2648E+08     0.6641E+13     0.2195E+03
      30.      2033         1         1     12.00     37.97     0.2093E+00     0.1370E-04     0.3176E-09     0.1370E-04     0.7430E+17     0.4865E+13     0.1127E+09     0.4864E+13     0.1126E+03
      35.      2033         1         1     12.00     37.97     0.2090E+00     0.1374E-04     0.2331E-08     0.1374E-04     0.3470E+17     0.2281E+13     0.3869E+09     0.2280E+13     0.4622E+02
      40.      2033         1         1     12.00     37.97     0.2096E+00     0.1003E-04     0.1381E-07     0.1002E-04     0.1700E+17     0.8137E+12     0.1120E+10     0.8126E+12     0.1748E+02
      45.      2033         1         1     12.00     37.97     0.2094E+00     0.7075E-05     0.6943E-07     0.7006E-05     0.8920E+16     0.3014E+12     0.2958E+10     0.2984E+12     0.7151E+01
      50.      2033         1         1     12.00     37.97     0.2095E+00     0.5315E-05     0.2836E-06     0.5032E-05     0.4840E+16     0.1228E+12     0.6551E+10     0.1162E+12     0.3298E+01
      55.      2033         1         1     12.00     37.97     0.2096E+00     0.4549E-05     0.9129E-06     0.3636E-05     0.2620E+16     0.5686E+11     0.1141E+11     0.4545E+11     0.1795E+01
      60.      2033         1         1     12.00     37.97     0.2092E+00     0.7278E-05     0.3075E-05     0.4204E-05     0.1500E+16     0.5218E+11     0.2204E+11     0.3014E+11     0.1092E+01
      65.      2033         1         1     12.00     37.97     0.2095E+00     0.1614E-04     0.1115E-04     0.4983E-05     0.8190E+15     0.6309E+11     0.4361E+11     0.1948E+11     0.6312E+00
      70.      2033         1         1     12.00     37.97     0.2094E+00     0.5269E-04     0.4603E-04     0.6661E-05     0.4230E+15     0.1064E+12     0.9298E+11     0.1345E+11     0.3251E+00
