Year 2046
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2046         1         1     12.00     62.98     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3641E+03
       4.      2046         1         1     12.00     62.98     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3641E+03
       7.      2046         1         1     12.00     62.98     0.2090E+00     0.3292E-11     0.4476E-19     0.3292E-11     0.2550E+19     0.4017E+08     0.5461E+00     0.4017E+08     0.3641E+03
      10.      2046         1         1     12.00     62.98     0.2091E+00     0.1101E-08     0.2747E-16     0.1101E-08     0.1740E+19     0.9164E+10     0.2286E+03     0.9164E+10     0.3640E+03
      13.      2046         1         1     12.00     62.98     0.2093E+00     0.6147E-07     0.3412E-14     0.6147E-07     0.1120E+19     0.3288E+12     0.1826E+05     0.3288E+12     0.3621E+03
      16.      2046         1         1     12.00     62.98     0.2098E+00     0.8008E-06     0.1214E-12     0.8008E-06     0.6880E+18     0.2627E+13     0.3981E+06     0.2627E+13     0.3456E+03
      19.      2046         1         1     12.00     62.98     0.2090E+00     0.2725E-05     0.1207E-11     0.2725E-05     0.4180E+18     0.5450E+13     0.2414E+07     0.5450E+13     0.3006E+03
      22.      2046         1         1     12.00     62.98     0.2098E+00     0.4830E-05     0.6165E-11     0.4830E-05     0.2580E+18     0.5942E+13     0.7583E+07     0.5941E+13     0.2371E+03
      25.      2046         1         1     12.00     62.98     0.2092E+00     0.7310E-05     0.2678E-10     0.7310E-05     0.1600E+18     0.5592E+13     0.2049E+08     0.5592E+13     0.1728E+03
      30.      2046         1         1     12.00     62.98     0.2093E+00     0.1023E-04     0.2151E-09     0.1023E-04     0.7430E+17     0.3633E+13     0.7637E+08     0.3633E+13     0.8704E+02
      35.      2046         1         1     12.00     62.98     0.2090E+00     0.1005E-04     0.1464E-08     0.1005E-04     0.3470E+17     0.1669E+13     0.2431E+09     0.1669E+13     0.3777E+02
      40.      2046         1         1     12.00     62.98     0.2096E+00     0.8351E-05     0.8740E-08     0.8342E-05     0.1700E+17     0.6773E+12     0.7088E+09     0.6766E+12     0.1597E+02
      45.      2046         1         1     12.00     62.98     0.2094E+00     0.6693E-05     0.4361E-07     0.6650E-05     0.8920E+16     0.2851E+12     0.1858E+10     0.2833E+12     0.7052E+01
      50.      2046         1         1     12.00     62.98     0.2095E+00     0.5408E-05     0.1998E-06     0.5208E-05     0.4840E+16     0.1249E+12     0.4615E+10     0.1203E+12     0.3301E+01
      55.      2046         1         1     12.00     62.98     0.2096E+00     0.4605E-05     0.7379E-06     0.3867E-05     0.2620E+16     0.5757E+11     0.9224E+10     0.4834E+11     0.1734E+01
      60.      2046         1         1     12.00     62.98     0.2092E+00     0.6753E-05     0.2518E-05     0.4235E-05     0.1500E+16     0.4842E+11     0.1806E+11     0.3037E+11     0.1002E+01
      65.      2046         1         1     12.00     62.98     0.2095E+00     0.1348E-04     0.8926E-05     0.4559E-05     0.8190E+15     0.5273E+11     0.3490E+11     0.1782E+11     0.5546E+00
      70.      2046         1         1     12.00     62.98     0.2094E+00     0.4258E-04     0.3682E-04     0.5755E-05     0.4230E+15     0.8600E+11     0.7438E+11     0.1162E+11     0.2809E+00
